d_mean,d_std,a_abs,a_std,d_diff,v_abs,ttc_mean,label,sigma_opt
0.169335,0.015269,0.05151,0.145994,0.0085,0.030435,1.4844,APPROCHE,2.5
0.03570170573911315,0.013059922834086891,0.009118824056554724,0.010115963041658979,0.013999291545862037,0.06698650254847192,0.7557812647926305,COLLISION RISK,2.5
0.158575,0.015721,0.011165,0.01281,0.005,0.043435,15.0,STATIONNAIRE,1.0
0.15407761195157307,0.03407549567277875,0.007282281560792922,0.006866762987559252,0.015082388626355052,0.08053517874026005,15.0,ÉLOIGNEMENT,2.5
0.131926591109663,0.049612838961052855,0.011093922532891773,0.009735532170452206,0.020556094510158336,0.126555551779647,15.0,ÉLOIGNEMENT,5.0
0.056405,0.032449,0.00972,0.011438,0.0107,0.097115,0.2416,COLLISION RISK,2.5
0.10164551196153748,0.05994379613881695,0.010369323843167563,0.012645085700039225,0.02008632520541376,0.1113629726168279,14.970983070705904,ÉLOIGNEMENT,5.0
0.17815,0.01265,0.01489,0.026455,0.0037,0.027755,3.5464,APPROCHE,1.0
0.16151,0.028668,0.00759,0.009541,0.0078,0.07876,15.0,ÉLOIGNEMENT,2.5
0.19541,0.002168,0.011695,0.012483,0.0007,0.01428,15.0,STATIONNAIRE,0.1
0.06120244010706797,0.023151351802618937,0.00962716525823742,0.015164528352865834,0.009295697052339931,0.04531245694742918,13.95606328280684,ÉLOIGNEMENT,2.5
0.180335,0.000497,0.01163,0.014766,0.0002,0.001455,15.0,APPROCHE,0.1
0.16232939687877027,0.032966417039823066,0.009449572645220007,0.012655759930435015,0.019177261724869846,0.1138972076903536,14.620622050897545,ÉLOIGNEMENT,5.0
0.070955,0.005501,0.012825,0.014713,0.0019,0.022445,5.8582,APPROCHE,1.0
0.178275,0.002846,0.00809,0.009936,0.0038,0.00955,15.0,APPROCHE,0.1
0.12369741870541538,0.04610648081015056,0.008286108900372444,0.012868852007507738,0.0,0.07396210547607814,0.24988651533411793,COLLISION RISK,2.5
0.19283,0.003426,0.009685,0.011741,0.0007,0.006455,15.0,STATIONNAIRE,0.1
0.03504309399222769,0.007393629319582873,0.011110351899601864,0.011279135570948975,0.0,0.07884819801667915,1.648131003381485,COLLISION RISK,2.5
0.044575,0.009029,0.01395,0.023924,0.0034,0.02424,3.1823,COLLISION RISK,1.0
0.06555,0.014575,0.016235,0.022619,0.0074,0.034845,15.0,ÉLOIGNEMENT,1.0
0.182495,0.000209,0.008825,0.011094,0.0001,0.0019,15.0,STATIONNAIRE,0.1
0.09898441324886209,0.03208918874196416,0.010398135254019752,0.01202781528916019,0.0017008606071145637,0.060780874186149886,15.0,ÉLOIGNEMENT,2.5
0.181885,0.000478,0.01065,0.012346,0.0002,0.003365,15.0,STATIONNAIRE,0.1
0.08925317483419722,0.02648305225590037,0.009894693176144909,0.013378057688564631,0.0051625016545515596,0.0691112587151083,14.219125911438622,ÉLOIGNEMENT,2.5
0.18537,0.0016,0.008295,0.010244,0.001,0.0119,15.0,STATIONNAIRE,0.1
0.05984,0.004951,0.01294,0.022379,0.0034,0.015265,2.0424,COLLISION RISK,1.0
0.091355,0.001684,0.00741,0.009142,0.0005,0.01024,15.0,STATIONNAIRE,0.1
0.06344,0.013048,0.00754,0.009263,0.0046,0.028955,15.0,COLLISION RISK,1.0
0.182875,0.002167,0.01144,0.013972,0.0006,0.00441,15.0,STATIONNAIRE,0.1
0.05338,0.01384,0.00901,0.010872,0.0104,0.02672,15.0,ÉLOIGNEMENT,1.0
0.16049,0.022665,0.05126,0.145941,0.0085,0.04306,0.96,COLLISION RISK,2.5
0.18062,0.000214,0.008445,0.010386,0.0001,0.00049,15.0,APPROCHE,0.1
0.18246,0.000244,0.00966,0.012295,0.0001,0.001735,15.0,STATIONNAIRE,0.1
0.029995,0.027011,0.007595,0.00936,0.0092,0.097645,-0.051,COLLISION RISK,2.5
0.04892,0.007837,0.00733,0.008846,0.0038,0.0248,15.0,COLLISION RISK,1.0
0.03346,0.006844,0.013375,0.016297,0.0057,0.014395,15.0,ÉLOIGNEMENT,1.0
0.17184549696233076,0.025986141332653073,0.006901952641196157,0.011238570939478517,0.0041793824705834235,0.08257211501619248,14.865350909071536,ÉLOIGNEMENT,2.5
0.18092,0.000605,0.009845,0.012518,0.0002,0.001695,15.0,STATIONNAIRE,0.1
0.06134,0.01252,0.00754,0.009263,0.0046,0.027175,1.5066,COLLISION RISK,1.0
0.157165,0.031482,0.025065,0.059447,0.014,0.054875,0.5893,COLLISION RISK,2.5
0.12994,0.029583,0.01331,0.017077,0.0132,0.04953,15.0,ÉLOIGNEMENT,2.5
0.17976,0.000136,0.010315,0.012362,0.0001,0.00053,15.0,STATIONNAIRE,0.1
